
Date,Day,Shift Start time,Shift end time,Total guest served,Average spend per guest,collected cash sales (cash owed to resturant) ,Total auto gratuity,Non-cash tips (total),Non cash tips reported,Bar tipout,Support tipout,total tipout,Bottled Beer quantiy,Bottled beer sales,Draft beer quant,Draft beer sales,food quant,food sales,liquor quant,liquor sales,wine quantity,wine sales,NA beverage quant,NA beverage sales,Non-gratuity serverice charges quant,non gratutity servercice charge sales,Total Net sales,Tax,Gross Sales,total (gross + tips),gross tips,,
10/10/2024,Thursday,15:31,23:10:00,57,$29.29,$19.24,$0.00,$369.80,22.4%,$31.18,$45.93,$77.11,14,$98.00,24,$206.00,69,"$1,148.20",15,$141.50,0,$0.00,13,$45.50,12,$30.29,"$1,669.49",$158.46,"$1,827.95","$2,197.75",$369.80,,
10/11/2024,Friday,15:53,20:46:00,34,$25.67,$84.30,$0.00,$188.07,22.2%,$12.15,$25.70,$37.85,4,$20.00,9,$63.93,43,$642.57,5,$34.50,7,$55.00,13,$42.10,6,$14.83,$872.93,$82.76,$955.69,"$1,143.76",$188.07,,
10/13/2024,Sunday,15:52,22:14:00,40,$31.11,$206.02,$0.00,$242.20,23.0%,$12.11,$39.70,$51.81,2,$9.00,15,$95.50,62,$992.50,7,$60.50,1,$8.00,16,$56.00,10,$22.93,"$1,244.43",$104.65,"$1,349.08","$1,591.28",$242.20,,
10/17/2024,Thursday,15:53,21:55,37,$22.53,$0.00,$0.00,$167.08,20.0%,$10.96,$25.28,$36.24,0,$0.00,11,$68.00,44,$632.00,9,$88.50,0,$0.00,9,$32.00,4,$13.05,$833.55,$79.10,$912.65,"$1,079.73",$167.08,,
10/18/2024,Friday,15:53,21:07,36,$24.97,$119.34,$0.00,$180.60,22.9%,18.35,$23.56,$41.91,4,$18.50,22,$176.50,39,$589.00,9,$50.00,2,$17.00,8,$28.00,11,$19.78,$898.78,$85.31,$984.09,"$1,164.69",$180.60,,
10/20/2024,Sunday,10:53,15:02,27,$25.31,$10.00,$0.00,$92.06,13.5%,6.02,$21.88,$27.90,0,$0.00,3,$24.00,38,$547.07,5,$62.00,0,$0.00,11,$37.98,5,$12.29,$683.34,$64.83,$748.17,$840.23,$92.06,,
10/21/2024,Monday,10:21,16:10,43,$22.99,$309.86,$0.00,$131.42,18.6%,7.45,$31.76,$39.21,2,$11.50,5,$47.00,53,$794.00,3,$40.00,1,$8.00,21,$73.50,7,$14.44,$988.44,$93.74,"$1,082.18","$1,213.60",$131.42,,
10/25/2024,Friday,15:53,22:02,42,$30.32,$316.45,$0.00,$193.18,19.6%,14.49,$39.37,$53.86,3,$17.50,15,$128.50,66,$984.20,7,$61.00,0,$0.00,18,$63.00,13,$19.44,"$1,273.64",$120.86,"$1,394.50","$1,587.68",$193.18,,
10/26/2024,Saturday,15:54,21:25,42,$26.62,$208.62,$0.00,$206.51,22.3%,14.11,$35.03,$49.14,3,$16.50,11,$82.00,52,$875.70,9,$79.00,3,$24.00,9,$31.50,7,$9.57,"$1,118.27",$106.19,"$1,224.46","$1,430.97",$206.51,,
10/27/2024,Sunday,15:54,22:59,67,$25.25,$194.95,$0.00,$319.00,21.1%,17.43,$54.42,$71.85,4,$23.50,14,$107.00,87,"$1,360.50",11,$118.50,0,$0.00,19,$67.00,9,$15.29,"$1,691.79",$160.64,"$1,852.43","$2,171.43",$319.00,,
10/31/2024,Thursday,15:54,21:50,42,$32.86,$561.21,$0.00,$198.06,22.5%,32.54,$33.75,$66.29,7,$41.00,23,$186.81,55,$843.69,25,$187.00,6,$50.00,17,$58.80,7,$13.03,"$1,380.33",$131.07,"$1,511.40","$1,709.46",$198.06,,
11/3/2024,Sunday,15:53,21:40,42,$31.36,$158.34,$0.00,$242.28,20.6%,21.04,$38.42,$59.46,9,$49.50,18,$132.68,58,$960.49,10,$94.93,1,$23.50,11,$39.00,10,$16.96,"$1,317.06",$124.93,"$1,441.99","$1,684.27",$242.28,,
